"","code_muni2","code_muni","MUNICIPIO","Nome_UF"
"1","1100023",110002,"Ariquemes","Rondônia"
"2","1100031",110003,"Cabixi","Rondônia"
"3","1100049",110004,"Cacoal","Rondônia"
"4","1100056",110005,"Cerejeiras","Rondônia"
"5","1100064",110006,"Colorado do Oeste","Rondônia"
"6","1100072",110007,"Corumbiara","Rondônia"
"7","1100080",110008,"Costa Marques","Rondônia"
"8","1100098",110009,"Espigão D'Oeste","Rondônia"
"9","1100106",110010,"Guajará-Mirim","Rondônia"
"10","1100114",110011,"Jaru","Rondônia"
"11","1100122",110012,"Ji-Paraná","Rondônia"
"12","1100130",110013,"Machadinho D'Oeste","Rondônia"
"13","1100148",110014,"Nova Brasilândia D'Oeste","Rondônia"
"14","1100155",110015,"Ouro Preto do Oeste","Rondônia"
"15","1100189",110018,"Pimenta Bueno","Rondônia"
"16","1100205",110020,"Porto Velho","Rondônia"
"17","1100254",110025,"Presidente Médici","Rondônia"
"18","1100262",110026,"Rio Crespo","Rondônia"
"19","1100288",110028,"Rolim de Moura","Rondônia"
"20","1100296",110029,"Santa Luzia D'Oeste","Rondônia"
"21","1100304",110030,"Vilhena","Rondônia"
"22","1100320",110032,"São Miguel do Guaporé","Rondônia"
"23","1100338",110033,"Nova Mamoré","Rondônia"
"24","1100346",110034,"Alvorada D'Oeste","Rondônia"
"25","1100379",110037,"Alto Alegre dos Parecis","Rondônia"
"26","1100403",110040,"Alto Paraíso","Rondônia"
"27","1100452",110045,"Buritis","Rondônia"
"28","1100502",110050,"Novo Horizonte do Oeste","Rondônia"
"29","1100601",110060,"Cacaulândia","Rondônia"
"30","1100700",110070,"Campo Novo de Rondônia","Rondônia"
"31","1100809",110080,"Candeias do Jamari","Rondônia"
"32","1100908",110090,"Castanheiras","Rondônia"
"33","1100924",110092,"Chupinguaia","Rondônia"
"34","1100940",110094,"Cujubim","Rondônia"
"35","1101005",110100,"Governador Jorge Teixeira","Rondônia"
"36","1101104",110110,"Itapuã do Oeste","Rondônia"
"37","1101203",110120,"Ministro Andreazza","Rondônia"
"38","1101302",110130,"Mirante da Serra","Rondônia"
