"","code_muni","code_muni2","pop_2012","pop_2008","IDHM","UF","MUNICIPIO","log_to_brasilia","log_to_capital","Nome_UF","metropolitano","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008"
"1",110002,"1100023",92747,84581,0.702,"RO","Ariquemes",7.47439775042381,5.07016127341028,"Rondônia",0,0.266108786610879,0,0.846443514644351,0.123084527928819
"2",110003,"1100031",6132,6777,0.65,"RO","Cabixi",7.23025173635054,6.46298265395335,"Rondônia",0,0.169172932330827,0.0736196319018405,0.612781954887218,0.539877300613497
"3",110004,"1100049",79330,78263,0.718,"RO","Cacoal",7.33828366268397,5.99398636465149,"Rondônia",0,0.207169214549288,0.0222376650451703,0.758566157090142,0.275886031966644
"4",110005,"1100056",16852,16784,0.692,"RO","Cerejeiras",7.25571132354464,6.39159880478134,"Rondônia",0,0.154929577464789,0,0.909456740442656,0.0995575221238938
"5",110006,"1100064",18093,18216,0.685,"RO","Colorado do Oeste",7.23679280364032,6.4094838537875,"Rondônia",0,0.0456204379562044,0,0.885036496350365,0.129896907216495
"6",110007,"1100072",8530,9761,0.613,"RO","Corumbiara",7.26547867310484,6.348246985269,"Rondônia",0,0.125698324022346,0,0.952513966480447,0.0498533724340176
"7",110008,"1100080",14355,13973,0.611,"RO","Costa Marques",7.49304438312988,6.01871486159814,"Rondônia",0,0.0850340136054422,0.00970873786407767,0.875850340136054,0.0776699029126214
"8",110009,"1100098",29189,28617,0.672,"RO","Espigão D'Oeste",7.30667232860577,6.08911290034398,"Rondônia",0,0.138107416879795,0.0204081632653061,0.751918158567775,0.180272108843537
"9",110010,"1100106",42202,40541,0.657,"RO","Guajará-Mirim",7.58233107395665,5.61411302265862,"Rondônia",0,0.109929078014184,0,0.852245862884161,0.166435506241331
"10",110011,"1100114",51765,53955,0.689,"RO","Jaru",7.42754857273039,5.49794661079718,"Rondônia",0,0.0691785052501544,0,0.760963557751699,0.314123376623377
"11",110012,"1100122",118092,110707,0.714,"RO","Ji-Paraná",7.38426271256654,5.7647834962136,"Rondônia",0,0.187087307410125,0.0127358490566038,0.777696258253852,0.220754716981132
"12",110013,"1100130",32403,32214,0.596,"RO","Machadinho D'Oeste",7.42573326352525,5.41316275821708,"Rondônia",0,0.316877152698048,0,0.86796785304248,0.152116402116402
"13",110014,"1100148",19891,17653,0.643,"RO","Nova Brasilândia D'Oeste",7.38947747680706,5.91811398035805,"Rondônia",0,0.44978783592645,0.0208667736757624,0.881188118811881,0.0995184590690209
"14",110015,"1100155",37482,37142,0.682,"RO","Ouro Preto do Oeste",7.40737232062874,5.64576486828663,"Rondônia",0,0.16,0,0.9025,0.101569713758079
"15",110018,"1100189",34135,33803,0.71,"RO","Pimenta Bueno",7.31533149047594,6.084613301806,"Rondônia",0,0.174515235457064,0,0.849030470914127,0.177814029363785
"16",110020,"1100205",442701,379186,0.736,"RO","Porto Velho",7.55047195074272,0,"Rondônia",0,0.280587468909156,0.00379122962214078,0.937226104465237,0.0571211929735878
"17",110025,"1100254",21709,22896,0.664,"RO","Presidente Médici",7.37429039990152,5.8483156253885,"Rondônia",0,0.0995024875621891,0.0297805642633229,0.793532338308458,0.0642633228840125
"18",110026,"1100262",3374,3260,0.643,"RO","Rio Crespo",7.47164193376821,5.02460394332365,"Rondônia",0,0.206008583690987,0,0.952789699570815,0.0495495495495495
"19",110028,"1100288",51142,50249,0.7,"RO","Rolim de Moura",7.35329970589521,6.00148913262995,"Rondônia",0,0.21226795803067,0,0.870056497175141,0.104823747680891
"20",110029,"1100296",8476,9566,0.67,"RO","Santa Luzia D'Oeste",7.34964231550205,6.03892048826428,"Rondônia",0,0.250746268656716,0,0.925373134328358,0.0612903225806452
"21",110030,"1100304",79616,68405,0.731,"RO","Vilhena",7.21439403278341,6.40276261040859,"Rondônia",0,0.21792618629174,0.00214132762312634,0.820738137082601,0.209850107066381
